ID,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,VCH,VCD,VCA
632,9/14/2013,Napoli,Atalanta,H,1.36,4.75,8.5,1.33,4.75,9.5,1.37,4.6,7.5,1.4,4.5,7.5,1.4,4.5,8,1.36,5,9
633,9/14/2013,Torino,Milan,D,4.75,3.6,1.73,4.75,3.6,1.72,4.5,3.5,1.75,4.5,3.4,1.83,4.4,3.5,1.83,4.75,3.6,1.85
634,9/15/2013,Fiorentina,Cagliari,D,1.44,4.33,7,1.36,4.75,8.25,1.4,4.4,7.3,1.44,4.33,6.5,1.44,4.4,7,1.45,4.75,7.5
635,9/15/2013,Lazio,Chievo,H,1.67,3.75,5,1.65,3.6,5.5,1.65,3.6,5.1,1.66,3.75,5,1.67,3.6,5.5,1.7,3.8,5.75
636,9/15/2013,Livorno,Catania,H,2.5,3.2,2.88,2.5,3.2,2.85,2.4,3.2,2.85,2.4,3.2,2.9,2.5,3.3,2.8,2.6,3.25,3
637,9/15/2013,Sampdoria,Genoa,A,2.4,3.1,3.1,2.4,3.3,3.1,2.4,3.2,2.85,2.25,3.25,3.2,2.4,3.1,3.1,2.5,3.2,3.25
638,9/15/2013,Udinese,Bologna,D,1.8,3.5,4.5,1.72,3.6,4.75,1.75,3.5,4.5,1.83,3.5,4.33,1.83,3.5,4.4,1.85,3.6,4.8
639,9/15/2013,Verona,Sassuolo,H,2.25,3.2,3.25,2.15,3.25,3.4,2.1,3.2,3.4,2.1,3.25,3.5,2.25,3.2,3.3,2.2,3.3,3.7
640,9/16/2013,Parma,Roma,A,3.1,3.3,2.3,3.1,3.4,2.35,2.9,3.3,2.3,2.9,3.4,2.3,2.88,3.3,2.4,3.1,3.4,2.4
641,9/21/2013,Cagliari,Sampdoria,D,2.1,3.2,3.6,2.15,3.2,3.5,2,3.3,3.6,2.1,3.3,3.5,2.15,3.25,3.5,2.15,3.3,3.8
642,9/21/2013,Chievo,Udinese,H,2.75,3.2,2.6,2.65,3.2,2.65,2.6,3.2,2.6,2.7,3.2,2.62,2.75,3.2,2.62,2.75,3.25,2.8
643,9/21/2013,Genoa,Livorno,D,1.75,3.5,4.75,1.75,3.6,4.6,1.75,3.5,4.5,1.85,3.4,4.33,1.83,3.5,4.4,1.83,3.5,4.8
644,9/22/2013,Atalanta,Fiorentina,A,2.8,3.4,2.4,2.9,3.25,2.45,2.85,3.2,2.4,2.75,3.3,2.5,2.88,3.3,2.45,3.1,3.4,2.45
645,9/22/2013,Bologna,Torino,A,2.15,3.2,3.5,2.15,3.25,3.4,2.1,3.15,3.45,2.15,3.25,3.4,2.15,3.25,3.5,2.25,3.25,3.6
646,9/22/2013,Catania,Parma,D,2.05,3.25,3.75,2.05,3.25,3.7,2.1,3.2,3.4,2.15,3.3,3.4,2.15,3.3,3.4,2.2,3.3,3.6
647,9/22/2013,Juventus,Verona,H,1.17,7,15,1.15,7.25,16,1.15,7,15,1.18,7,13,1.15,7.5,17,1.17,8,22
648,9/22/2013,Milan,Napoli,A,2.5,3.4,2.7,2.7,3.25,2.6,2.5,3.3,2.65,2.5,3.3,2.75,2.6,3.3,2.7,2.62,3.4,2.8
649,9/22/2013,Roma,Lazio,H,2.1,3.4,3.4,2.15,3.3,3.4,2.2,3.2,3.2,2.1,3.4,3.4,2.15,3.5,3.25,2.15,3.5,3.6
650,9/22/2013,Sassuolo,Inter,A,4.5,3.75,1.75,4.75,3.6,1.72,4.2,3.5,1.8,4.8,3.6,1.72,4.4,3.6,1.8,4.6,3.75,1.85
651,9/24/2013,Udinese,Genoa,H,1.83,3.4,4.5,1.75,3.5,4.6,1.8,3.5,4.2,1.85,3.4,4.33,1.91,3.3,3.8,1.91,3.5,4.4
652,9/25/2013,Bologna,Milan,D,3.4,3.4,2.1,3.6,3.3,2.05,3.3,3.3,2.1,3.25,3.3,2.2,3.6,3.2,2.15,3.75,3.4,2.15
653,9/25/2013,Chievo,Juventus,A,7.5,4.2,1.44,8,4.35,1.4,7,4,1.45,6.5,4.2,1.5,7,4,1.5,7.5,4.5,1.5
654,9/25/2013,Lazio,Catania,H,1.57,3.75,6,1.6,3.7,5.75,1.65,3.6,5.1,1.6,3.75,6,1.6,3.75,6,1.6,4.1,6.5
655,9/25/2013,Livorno,Cagliari,D,2.75,3.1,2.63,2.5,3.2,2.8,2.4,3.3,2.75,2.4,3.2,2.88,2.62,3.1,2.6,2.8,3.25,2.75
656,9/25/2013,Napoli,Sassuolo,D,1.17,7,15,1.11,8,21,1.15,7,15,1.15,7.5,17,1.17,6.5,17,1.14,9,23
657,9/25/2013,Parma,Atalanta,H,1.91,3.3,4.2,1.82,3.35,4.5,1.95,3.35,3.7,1.91,3.4,4,1.91,3.4,4,1.9,3.4,4.6
658,9/25/2013,Sampdoria,Roma,A,3.6,3.3,2.05,3.7,3.45,1.95,3.6,3.3,2,3.6,3.5,2,3.8,3.2,2.05,3.9,3.5,2.05
659,9/25/2013,Torino,Verona,D,1.91,3.4,4,1.95,3.35,3.85,1.95,3.35,3.7,2.05,3.3,3.75,2.05,3.2,3.8,2,3.4,4.3
660,9/26/2013,Inter,Fiorentina,H,1.91,3.4,4,2,3.4,3.6,2.1,3.3,3.3,2,3.4,3.75,1.91,3.3,4.2,2.05,3.5,3.8
661,9/28/2013,Genoa,Napoli,A,4.75,3.5,1.75,4.5,3.7,1.75,4.5,3.5,1.75,4.5,3.6,1.76,4.8,3.25,1.83,4.6,3.7,1.85
662,9/28/2013,Milan,Sampdoria,H,1.5,4,7,1.45,4.25,7,1.45,4,7,1.5,4,7,1.44,4.33,7.5,1.45,4.5,8
663,9/29/2013,Atalanta,Udinese,H,2.5,3.2,2.88,2.55,3.1,2.85,2.5,3.2,2.73,2.45,3.2,2.9,2.7,3.1,2.7,2.62,3.2,2.9
664,9/29/2013,Cagliari,Inter,D,3.8,3.3,2,3.9,3.5,1.91,3.8,3.45,1.9,4,3.3,1.95,3.6,3.3,2.05,3.9,3.6,2.05
665,9/29/2013,Catania,Chievo,H,2.05,3.3,3.6,2.15,3.2,3.5,2,3.3,3.6,2.1,3.3,3.5,2.1,3.2,3.6,2.15,3.3,3.9
666,9/29/2013,Roma,Bologna,H,1.33,5,9,1.33,5,9,1.33,5,8,1.33,5,9,1.36,4.5,9,1.36,5,10.5
667,9/29/2013,Sassuolo,Lazio,D,4.5,3.4,1.83,4.4,3.5,1.8,4.5,3.5,1.75,4.33,3.4,1.85,4.2,3.3,1.91,4.2,3.6,1.95
668,9/29/2013,Torino,Juventus,A,6.5,4.1,1.5,6.75,4,1.5,5.6,3.9,1.55,6,4,1.53,6.5,3.4,1.62,7,4.1,1.55
669,9/29/2013,Verona,Livorno,H,1.91,3.3,4.2,1.91,3.4,4,1.95,3.3,3.75,2,3.3,3.8,2,3.2,4,2.05,3.4,4.1
670,9/30/2013,Fiorentina,Parma,D,1.57,3.8,6,1.53,3.9,6.5,1.55,3.9,5.6,1.57,3.8,6,1.6,3.6,6,1.62,4,5.75
671,10/6/2013,Bologna,Verona,A,2.1,3.3,3.5,2.15,3.25,3.4,2.1,3.25,3.35,2.2,3.3,3.3,2.25,3.2,3.3,2.2,3.4,3.6
672,10/6/2013,Catania,Genoa,D,2.1,3.4,3.4,2.05,3.4,3.5,2.05,3.2,3.6,2.25,3.25,3.2,2.25,3.2,3.3,2.2,3.4,3.6
673,10/6/2013,Napoli,Livorno,H,1.22,5.25,17,1.26,5.5,11,1.25,5.5,10.3,1.28,5.5,10,1.29,4.5,15,1.25,6,15
674,10/6/2013,Parma,Sassuolo,H,1.57,3.75,6,1.57,3.8,6,1.6,3.7,5.4,1.6,3.75,6,1.67,3.3,6,1.65,4,5.75
675,10/6/2013,Sampdoria,Torino,D,2.4,3.2,3,2.4,3.1,3.1,2.3,3.2,3,2.4,3.2,3,2.5,3,3,2.45,3.25,3.2
676,10/6/2013,Udinese,Cagliari,H,1.83,3.5,4.33,1.88,3.4,4.2,1.8,3.5,4.2,1.83,3.4,4.33,1.95,3.2,4.2,1.95,3.5,4.4
677,10/6/2013,Juventus,Milan,H,1.57,4,5.5,1.6,4,5.25,1.65,3.6,5.1,1.61,3.75,5.5,1.62,3.6,6,1.57,4.2,6.5
678,10/6/2013,Lazio,Fiorentina,D,2.25,3.4,3.1,2.25,3.3,3.1,2.25,3.3,3,2.37,3.2,3,2.4,3.1,3.1,2.45,3.4,3.12
679,10/5/2013,Chievo,Atalanta,A,2.2,3.2,3.4,2.2,3.1,3.5,2.1,3.2,3.4,2.25,3.2,3.25,2.3,3.1,3.3,2.3,3.2,3.5
680,10/5/2013,Inter,Roma,A,2.25,3.5,3,2.25,3.5,3,2.3,3.3,2.9,2.3,3.4,3,2.4,3.1,3.1,2.38,3.5,3.12
681,10/18/2013,Roma,Napoli,H,2.1,3.3,3.5,2.05,3.4,3.5,2.2,3.3,3.1,2.15,3.4,3.25,2.15,3.5,3.25,2.2,3.5,3.5
682,10/19/2013,Cagliari,Catania,H,1.91,3.3,4.2,1.91,3.3,4.2,2,3.3,3.6,1.95,3.3,4,2,3.3,3.75,2,3.3,4.33
683,10/19/2013,Milan,Udinese,H,1.67,3.6,5.25,1.65,3.75,5.25,1.7,3.6,4.7,1.66,3.75,5,1.75,3.4,5,1.7,3.8,5.5
684,10/20/2013,Atalanta,Lazio,H,2.7,3.2,2.6,2.75,3.1,2.65,2.6,3.2,2.6,2.7,3.2,2.7,2.75,3,2.75,2.88,3.2,2.75
685,10/20/2013,Fiorentina,Juventus,H,3.5,3.3,2.1,3.3,3.4,2.15,3.3,3.3,2.1,3.3,3.25,2.2,3.2,3.3,2.25,3.75,3.3,2.2
686,10/20/2013,Genoa,Chievo,H,2,3.4,3.75,2.05,3.2,3.8,2,3.3,3.6,2.1,3.3,3.5,2.1,3.3,3.5,2,3.4,4.1
687,10/20/2013,Livorno,Sampdoria,A,2.3,3.2,3.1,2.4,3.1,3.1,2.2,3.2,3.2,2.25,3.2,3.2,2.5,3.2,2.88,2.45,3.25,3.25
688,10/20/2013,Sassuolo,Bologna,H,2.38,3.2,3,2.4,3.2,2.95,2.5,3.3,2.65,2.4,3.2,3,2.5,3.2,2.88,2.5,3.25,3.1
689,10/20/2013,Verona,Parma,H,2.3,3.2,3.1,2.3,3.25,3.1,2.3,3.3,2.9,2.25,3.25,3.2,2.5,3.2,2.88,2.45,3.4,3.1
690,10/20/2013,Torino,Inter,D,3.4,3.5,2.05,3.5,3.4,2.05,3.6,3.3,2,3.4,3.4,2.1,3.5,3.2,2.15,3.6,3.5,2.15
691,10/26/2013,Inter,Verona,H,1.44,4.2,7.5,1.4,4.4,8,1.45,4,7,1.5,4.33,6,1.5,4,7,1.5,4.6,7.5
692,10/26/2013,Sampdoria,Atalanta,H,2.3,3.2,3.2,2.3,3.1,3.25,2.3,3.2,3,2.3,3.25,3.1,2.4,3.1,3.1,2.45,3.2,3.3
693,10/27/2013,Bologna,Livorno,H,2,3.3,3.8,2.05,3.2,3.8,2.1,3.3,3.3,2.1,3.25,3.5,2.1,3.2,3.6,2.1,3.3,4
694,10/27/2013,Catania,Sassuolo,D,1.83,3.5,4.33,1.8,3.6,4.33,1.8,3.5,4.2,1.9,3.4,4,1.91,3.1,4.5,1.9,3.5,4.6
695,10/27/2013,Chievo,Fiorentina,A,3.8,3.4,2,3.9,3.4,1.95,3.8,3.45,1.9,3.75,3.4,2,3.6,3.2,2.1,3.8,3.5,2.1
696,10/27/2013,Juventus,Genoa,H,1.2,6,15,1.2,6.75,12,1.2,5.8,13,1.25,5.5,12,1.22,5.5,15,1.22,6.5,15
697,10/27/2013,Lazio,Cagliari,H,1.83,3.4,4.5,1.78,3.5,4.6,1.7,3.6,4.7,1.8,3.5,4.5,1.85,3.3,4.5,1.87,3.5,4.8
698,10/27/2013,Napoli,Torino,H,1.33,5,8.5,1.31,5,9.75,1.35,4.8,7.6,1.36,4.5,9,1.36,4.5,9,1.36,5,10
699,10/27/2013,Parma,Milan,H,3.3,3.3,2.2,3.25,3.3,2.2,3.1,3.3,2.2,3.1,3.4,2.25,3.2,3.2,2.3,3.25,3.4,2.3
700,10/27/2013,Udinese,Roma,A,3.3,3.4,2.15,3.4,3.3,2.15,3.6,3.3,2,3.2,3.25,2.25,3.2,3.2,2.3,3.3,3.4,2.3
701,10/29/2013,Atalanta,Inter,D,3.8,3.3,2,3.75,3.4,1.95,3.6,3.3,2,3.5,3.3,2.1,3.5,3.5,2.05,3.75,3.5,2.1
702,10/30/2013,Cagliari,Bologna,A,1.75,3.5,4.75,1.75,3.55,4.6,1.8,3.5,4.2,1.83,3.4,4.5,1.8,3.4,4.75,1.83,3.5,5
703,10/30/2013,Fiorentina,Napoli,A,2.5,3.3,2.8,2.5,3.4,2.65,2.5,3.3,2.65,2.4,3.4,2.8,2.62,3.2,2.7,2.63,3.5,2.8
704,10/30/2013,Genoa,Parma,H,2.4,3.2,3,2.4,3.2,2.95,2.3,3.2,3,2.4,3.3,2.88,2.5,3.2,2.88,2.55,3.3,3
705,10/30/2013,Juventus,Catania,H,1.18,6.25,17,1.17,6.75,15,1.17,6.5,14,1.2,6.5,13,1.2,6.5,13,1.18,7.5,22
706,10/30/2013,Livorno,Torino,D,2.8,3.1,2.6,2.7,3.2,2.6,2.6,3.2,2.6,2.62,3.25,2.62,2.7,3.1,2.7,2.8,3.25,2.8
707,10/30/2013,Milan,Lazio,D,1.73,3.5,5,1.72,3.6,4.75,1.7,3.6,4.7,1.73,3.6,4.8,1.8,3.6,4.4,1.75,3.6,5.25
708,10/30/2013,Sassuolo,Udinese,A,2.88,3.3,2.4,2.85,3.3,2.4,3,3.2,2.3,2.9,3.3,2.38,3.1,3.1,2.4,3.1,3.3,2.5
709,10/30/2013,Verona,Sampdoria,H,2,3.4,3.75,2.05,3.3,3.55,2,3.3,3.6,2.05,3.4,3.5,2.15,3.2,3.5,2.2,3.4,3.6
710,10/31/2013,Roma,Chievo,H,1.22,6,12,1.25,5.75,10.5,1.22,5.5,12,1.29,5,11,1.29,5.5,9.5,1.29,5.75,13
711,11/2/2013,Milan,Fiorentina,A,2.05,3.5,3.5,2.05,3.4,3.5,2,3.3,3.6,2.1,3.5,3.3,2.1,3.1,3.8,2.1,3.5,3.75
712,11/2/2013,Napoli,Catania,H,1.22,6,13,1.22,6,12,1.2,5.8,13,1.25,5.5,12,1.29,5,12,1.25,6.5,15
713,11/2/2013,Parma,Juventus,A,4.5,3.75,1.73,4.6,3.8,1.7,4.7,3.6,1.7,4.5,3.75,1.75,5,3.4,1.75,5,3.8,1.75
714,11/3/2013,Lazio,Genoa,A,1.57,3.8,6,1.53,3.9,6.5,1.6,3.7,5.4,1.61,3.75,5.5,1.6,3.5,6.5,1.6,4.1,6.5
715,11/3/2013,Livorno,Atalanta,H,2.7,3.1,2.7,2.7,3.1,2.7,2.6,3.2,2.6,2.7,3.2,2.62,2.8,3,2.7,2.8,3.25,2.8
716,11/3/2013,Sampdoria,Sassuolo,A,1.95,3.5,3.8,1.9,3.4,4.1,1.85,3.35,4.15,1.9,3.4,4,2,3.2,4,2.05,3.5,4
717,11/3/2013,Torino,Roma,D,4,3.5,1.91,4.1,3.6,1.85,4,3.45,1.85,4,3.4,1.9,4,3.2,2,4.2,3.6,1.95
718,11/3/2013,Udinese,Inter,A,2.63,3.3,2.63,2.7,3.3,2.55,2.65,3.3,2.5,2.6,3.4,2.6,2.7,3.1,2.7,2.9,3.3,2.62
719,11/3/2013,Verona,Cagliari,H,2.05,3.4,3.5,2,3.4,3.75,2,3.3,3.6,2,3.3,3.75,2.15,3.1,3.6,2.15,3.4,3.7
720,11/4/2013,Bologna,Chievo,D,2.05,3.3,3.6,2,3.2,3.9,1.85,3.35,4.15,2.1,3.3,3.5,2.15,3.1,3.6,2.15,3.4,3.8
721,11/9/2013,Catania,Udinese,H,2.9,3.1,2.5,2.8,3.1,2.6,2.7,3.15,2.55,2.9,3.2,2.4,2.9,3.25,2.45,3.2,3.25,2.45
722,11/9/2013,Inter,Livorno,H,1.3,5,10,1.3,5.25,9.25,1.3,5,9,1.28,5.5,9.5,1.3,5,10,1.33,5.5,10.5
723,11/10/2013,Atalanta,Bologna,H,2.05,3.3,3.6,2.05,3.2,3.8,1.9,3.3,4,2.05,3.3,3.6,2.1,3.25,3.6,2.1,3.3,4.1
724,11/10/2013,Cagliari,Torino,H,2,3.3,3.8,2.05,3.25,3.7,2,3.2,3.75,2.1,3.3,3.5,2.15,3.25,3.5,2.1,3.4,3.9
725,11/10/2013,Chievo,Milan,D,3.8,3.3,2,3.8,3.3,2,3.3,3.3,2.1,3.75,3.4,2,3.8,3.3,2,4.2,3.4,2
726,11/10/2013,Genoa,Verona,H,2.25,3.25,3.25,2.15,3.25,3.4,2.1,3.3,3.3,2.25,3.4,3.1,2.25,3.3,3.2,2.3,3.4,3.3
727,11/10/2013,Parma,Lazio,D,2.3,3.2,3.2,2.35,3.2,3.1,2.25,3.3,3,2.3,3.4,3,2.25,3.3,3.2,2.3,3.3,3.3
728,11/10/2013,Roma,Sassuolo,D,1.22,6,13,1.22,6.5,11,1.22,5.5,12,1.22,6,12,1.22,6,13,1.25,6,13
729,11/10/2013,Fiorentina,Sampdoria,H,1.4,4.5,8,1.36,4.5,9.5,1.45,4,7,1.4,4.33,8,1.4,4.5,8,1.4,4.75,9
730,11/10/2013,Juventus,Napoli,H,1.73,3.6,4.75,1.72,3.6,4.75,1.85,3.45,4,1.72,3.75,4.6,1.75,3.6,4.6,1.75,3.75,5.25
731,11/23/2013,Milan,Genoa,D,1.44,4.2,7.5,1.45,4.2,7.25,1.5,4,6.1,1.5,4,6.5,1.44,4,8,1.45,4.4,8.5
732,11/23/2013,Napoli,Parma,A,1.44,4.5,6.5,1.45,4.2,7.25,1.45,4,7,1.4,4.5,7.5,1.5,4,7,1.5,4.5,7
733,11/23/2013,Verona,Chievo,A,2.1,3.3,3.5,2,3.2,3.9,2,3.3,3.6,1.9,3.4,4,2.05,3.2,3.8,2.15,3.4,3.75
734,11/24/2013,Bologna,Inter,D,4,3.4,1.91,3.9,3.4,1.95,4,3.45,1.85,3.75,3.5,1.95,4,3.2,2,4.2,3.5,2
735,11/24/2013,Livorno,Juventus,A,8.5,4.75,1.36,8.5,4.75,1.35,7.3,4.4,1.4,8,4.33,1.4,8,4.5,1.4,10,4.8,1.4
736,11/24/2013,Sampdoria,Lazio,D,3,3.2,2.38,2.95,3.1,2.5,2.65,3.3,2.5,2.87,3.25,2.45,3,3,2.5,3.2,3.2,2.5
737,11/24/2013,Sassuolo,Atalanta,H,2.2,3.2,3.4,2.25,3.2,3.25,2.3,3.2,3,2.25,3.25,3.2,2.3,3,3.4,2.25,3.25,3.6
738,11/24/2013,Torino,Catania,H,1.8,3.5,4.5,1.75,3.5,4.75,1.85,3.45,4,1.8,3.5,4.5,1.83,3.1,5,1.8,3.6,5.4
739,11/24/2013,Udinese,Fiorentina,H,2.8,3.1,2.6,2.8,3.2,2.5,2.75,3.3,2.4,2.8,3.4,2.4,2.7,3.1,2.7,2.88,3.25,2.7
740,11/25/2013,Roma,Cagliari,D,1.44,4.33,7,1.42,4.33,7.75,1.35,4.8,7.6,1.4,4.33,8,1.44,4,8,1.44,4.8,8.5
741,11/30/2013,Genoa,Torino,D,2.38,3.2,3.1,2.25,3.2,3.25,2.1,3.25,3.35,2.2,3.25,3.3,2.4,3.1,3.1,2.5,3.2,3.2
742,11/30/2013,Parma,Bologna,D,1.8,3.5,4.5,1.75,3.5,4.75,1.8,3.5,4.2,1.85,3.4,4.33,1.83,3.2,5,1.83,3.6,5
743,12/1/2013,Atalanta,Roma,D,4,3.4,1.91,4.1,3.4,1.91,3.6,3.3,2,4,3.4,1.9,4.2,3.2,1.95,4.4,3.5,1.95
744,12/1/2013,Cagliari,Sassuolo,D,1.83,3.5,4.33,1.8,3.5,4.5,1.9,3.3,4,1.85,3.4,4.33,1.83,3.2,5,1.87,3.6,4.75
745,12/1/2013,Catania,Milan,A,4.75,3.6,1.75,4.75,3.5,1.75,3.8,3.45,1.9,4.5,3.4,1.83,5,3.2,1.83,5,3.6,1.8
746,12/1/2013,Chievo,Livorno,H,1.91,3.4,4,1.95,3.3,4,1.95,3.3,3.75,2,3.2,4,2,3.2,4,2,3.4,4.33
747,12/1/2013,Inter,Sampdoria,D,1.4,4.5,8,1.35,4.6,9.5,1.37,4.6,7.5,1.4,4.5,7.5,1.4,4.2,9,1.4,4.8,9
748,12/1/2013,Juventus,Udinese,H,1.3,5,10,1.28,5.25,11,1.27,5.2,10,1.33,5,8.5,1.33,4.33,12,1.3,5.5,12
749,12/2/2013,Fiorentina,Verona,H,1.44,4.33,7,1.45,4,7.75,1.5,4,6.1,1.5,4.2,6.5,1.5,3.75,7.5,1.5,4.33,7.5
750,12/2/2013,Lazio,Napoli,A,3.1,3.3,2.3,3,3.3,2.35,2.75,3.3,2.4,2.9,3.3,2.37,3.1,3.1,2.4,3,3.3,2.55
751,12/6/2013,Bologna,Juventus,A,8.5,4.33,1.4,7.75,4.25,1.42,7,4,1.45,7,4.33,1.44,8,4,1.44,8.5,4.6,1.45
752,12/7/2013,Livorno,Milan,D,5.5,3.75,1.62,5.5,3.8,1.62,4.7,3.6,1.7,5,3.75,1.66,6,3.4,1.67,5.75,3.8,1.7
753,12/7/2013,Napoli,Udinese,D,1.57,3.75,6,1.53,3.9,6.5,1.55,3.9,5.6,1.53,4,6.5,1.57,3.5,7,1.6,3.9,6.5
754,12/8/2013,Cagliari,Genoa,H,1.95,3.3,4,1.9,3.25,4.25,1.9,3.3,4,1.95,3.4,3.6,1.95,3.3,4,1.92,3.4,4.75
755,12/8/2013,Inter,Parma,D,1.65,3.75,5.5,1.6,3.8,5.5,1.6,3.7,5.4,1.66,3.75,5,1.73,3.5,5,1.73,3.9,5.25
756,12/8/2013,Roma,Fiorentina,H,1.91,3.4,4,1.91,3.4,4,1.9,3.45,3.8,1.9,3.4,4.2,1.95,3.3,4,1.92,3.4,4.3
757,12/8/2013,Sampdoria,Catania,H,1.73,3.6,4.75,1.75,3.3,5.25,1.75,3.5,4.5,1.8,3.5,4.5,1.75,3.2,5.5,1.75,3.6,5.75
758,12/8/2013,Sassuolo,Chievo,A,2.1,3.2,3.6,2.1,3.25,3.6,2.1,3.2,3.4,2.15,3.25,3.4,2.25,3,3.5,2.25,3.3,3.6
759,12/8/2013,Torino,Lazio,H,2.38,3.2,3,2.4,3.2,3,2.4,3.2,2.85,2.5,3.2,2.8,2.5,3,3,2.45,3.3,3.2
760,12/8/2013,Verona,Atalanta,H,1.95,3.3,4,1.95,3.3,4,2,3.3,3.6,1.9,3.3,4.2,2.05,3,4.2,2.05,3.4,4.1
761,12/14/2013,Catania,Verona,D,2.7,3,2.75,2.7,3.1,2.7,2.4,3.2,2.85,2.75,3.2,2.6,2.75,3,2.75,2.75,3.2,2.8
762,12/15/2013,Chievo,Sampdoria,A,2.25,3,3.5,2.2,3.1,3.5,2.1,3.15,3.45,2.15,3.2,3.5,2.38,3.2,3,2.3,3.2,3.6
763,12/15/2013,Fiorentina,Bologna,H,1.44,4.33,7,1.36,4.75,8.25,1.42,4.2,7.3,1.4,4.5,8,1.44,4,8,1.45,4.6,8.5
764,12/15/2013,Genoa,Atalanta,D,2.15,3.25,3.4,2.1,3.25,3.6,1.95,3.35,3.7,2.1,3.2,3.6,2.25,3.2,3.2,2.2,3.25,3.8
765,12/15/2013,Juventus,Sassuolo,H,1.17,6.5,17,1.15,6.75,19.5,1.15,7,15,1.16,6.5,17,1.2,6,15,1.2,7,20
766,12/15/2013,Lazio,Livorno,H,1.5,4,7,1.53,3.9,6.5,1.55,3.9,5.6,1.53,4,6,1.57,3.2,6,1.55,4.2,7
